1652.86,2372.17
1606.13,2587.87
1018.38,3052.39
3167.43,5366.73
1318.79,6703.85
2996.25,7629.1
2754.34,10751.8
972.911,11266.5
3125.54,13961.2
4642.92,15919.6
1568.38,17899.3
159.101,19032.9
2825.09,17984.1
4306.56,17936.9
5981.45,19012.6
8327.67,18257.7
10088.4,19571.6
13640.5,18720.1
13077.4,16823.1
17488.9,15052.8
19849.4,15843.8
17418.4,13568.2
15319.8,9508.88
17664.1,6615.7
19176.8,6748.22
19606,5798.42
17568.6,6383.84
13378.6,6306.32
12710.4,6161.05
13193.6,8064.92
11717.4,8653.93
10535.6,10747.6
12821.2,13445.3
10795.9,14555.5
10145.8,13115
7712.26,9507.86
9983.88,7953.46
10250.6,7898.45
9024.05,6452.4
8059.59,4283.76
10165.4,4150.25
14383.1,1514.01
10650.7,1277.56
7141.37,949.883
6232.41,3697.32
6686.33,4293.86
6857.28,5729.84
3464.68,2786.33
2440,427.53
1835.09,2332.25

